stop_id,average_ons,average_offs,average_load,time_period_id,X,Y,Stop_ID,Stop_Name,lambda_0.5,lambda_0.75
91,0.844444444,0.455555556,7.311111111,time_period_08,-71.086739,42.345331,91,Massachusetts Ave @ Clearway St,1,1
91,0.14,0.08,2.74,time_period_09,-71.086739,42.345331,91,Massachusetts Ave @ Clearway St,1,1
91,1.756140351,0.934210526,14.54035088,time_period_10,-71.086739,42.345331,91,Massachusetts Ave @ Clearway St,1,1
91,2.019753086,0.9,15.13333333,time_period_11,-71.086739,42.345331,91,Massachusetts Ave @ Clearway St,0,1
93,1.1625,2.3875,11.3375,time_period_01,-71.088033,42.348005,93,Massachusetts Ave @ Newbury St,1,1
93,2.2,2.614285714,12.87142857,time_period_02,-71.088033,42.348005,93,Massachusetts Ave @ Newbury St,1,1
93,5.126666667,3.3,24.32666667,time_period_03,-71.088033,42.348005,93,Massachusetts Ave @ Newbury St,1,1
93,4.710714286,3,18.48214286,time_period_04,-71.088033,42.348005,93,Massachusetts Ave @ Newbury St,1,1
93,6.235294118,3.211764706,22.25882353,time_period_05,-71.088033,42.348005,93,Massachusetts Ave @ Newbury St,1,1
93,9.53125,3.41875,27.86875,time_period_06,-71.088033,42.348005,93,Massachusetts Ave @ Newbury St,1,1
93,7.372727273,1.559090909,17.12272727,time_period_07,-71.088033,42.348005,93,Massachusetts Ave @ Newbury St,1,1
93,4.733333333,0.977777778,11.06666667,time_period_08,-71.088033,42.348005,93,Massachusetts Ave @ Newbury St,1,1
93,1,0.24,3.5,time_period_09,-71.088033,42.348005,93,Massachusetts Ave @ Newbury St,1,1
93,7.323684211,2.3,19.55614035,time_period_10,-71.088033,42.348005,93,Massachusetts Ave @ Newbury St,1,1
93,8.174074074,2.534567901,20.77901235,time_period_11,-71.088033,42.348005,93,Massachusetts Ave @ Newbury St,1,1
95,0.2875,0.125,11.475,time_period_01,-71.089334,42.350773,95,Massachusetts Ave @ Beacon St,1,1
95,0.8,0.185714286,13.48571429,time_period_02,-71.089334,42.350773,95,Massachusetts Ave @ Beacon St,1,1
95,1.426666667,0.266666667,25.5,time_period_03,-71.089334,42.350773,95,Massachusetts Ave @ Beacon St,1,1
95,1.296428571,0.292857143,19.47857143,time_period_04,-71.089334,42.350773,95,Massachusetts Ave @ Beacon St,1,1
95,1.164705882,0.270588235,23.14705882,time_period_05,-71.089334,42.350773,95,Massachusetts Ave @ Beacon St,1,1
95,1.70625,0.34375,29.24375,time_period_06,-71.089334,42.350773,95,Massachusetts Ave @ Beacon St,1,1
95,1.409090909,0.277272727,18.29090909,time_period_07,-71.089334,42.350773,95,Massachusetts Ave @ Beacon St,1,1
95,1.022222222,0.211111111,11.88888889,time_period_08,-71.089334,42.350773,95,Massachusetts Ave @ Beacon St,0,1
95,0.3,0.06,3.74,time_period_09,-71.089334,42.350773,95,Massachusetts Ave @ Beacon St,0,1
